Tarih,Kapanış Fiyatı,Yüzde Değişim
2002-01-02,0.0009889999637380242,0.0
2002-01-03,0.0009889999637380242,0.0
2002-01-04,0.0009889999637380242,0.0
2002-01-07,0.0010140000376850367,2.5278134341403025
2002-01-08,0.0010270000202581286,1.2820495157742862
2002-01-09,0.0009889999637380242,-3.7001028014150728
2002-01-10,0.0009629999985918403,-2.628914671332694
2002-01-11,0.0009510000236332417,-1.2461033204720362
2002-01-14,0.0009510000236332417,0.0
2002-01-15,0.0009130000253207982,-3.9957936244067183
2002-01-16,0.0009130000253207982,0.0
2002-01-17,0.0008999999845400453,-1.423881754678491
2002-01-18,0.0009130000253207982,1.4444490004515531
2002-01-21,0.0008999999845400453,-1.423881754678491
2002-01-22,0.0008740000193938613,-2.8888850658671417
2002-01-23,0.0008870000019669533,1.487412160712287
2002-01-24,0.0008999999845400453,1.465612462712973
2002-01-25,0.0008870000019669533,-1.4444425329335764
2002-01-28,0.0008740000193938613,-1.465612462712973
2002-01-29,0.0008619999862276018,-1.3730014759704257
2002-01-30,0.0008360000210814178,-3.0162373041290214
2002-01-31,0.0008360000210814178,0.0
2002-02-01,0.0009130000253207982,9.210526590630487
2002-02-04,0.0008999999845400453,-1.423881754678491
2002-02-05,0.0008740000193938613,-2.8888850658671417
2002-02-06,0.0008239999879151583,-5.720827273365414
2002-02-07,0.0008239999879151583,0.0
2002-02-08,0.0007350000087171793,-10.800968507677055
2002-02-11,0.0007479999912902713,1.7687050910082602
2002-02-12,0.0007350000087171793,-1.7379656048748804
2002-02-13,0.0007479999912902713,1.7687050910082602
2002-02-14,0.0007600000244565308,1.6042825275385253
2002-02-15,0.0007730000070296228,1.7105239677312145
2002-02-18,0.0007479999912902713,-3.2341546587325576
2002-02-19,0.0007350000087171793,-1.7379656048748804
2002-02-20,0.0007350000087171793,0.0
2002-02-21,0.0007350000087171793,0.0
2002-02-22,0.0007350000087171793,0.0
2002-02-25,0.0007350000087171793,0.0
2002-02-26,0.0007350000087171793,0.0
2002-02-27,0.0007099999929778278,-3.401362645285533
2002-02-28,0.0007099999929778278,0.0
2002-03-01,0.0007350000087171793,3.521129012198765
2002-03-04,0.0007479999912902713,1.7687050910082602
2002-03-05,0.0007479999912902713,0.0
2002-03-06,0.0007350000087171793,-1.7379656048748804
2002-03-07,0.0007600000244565308,3.4013626452855217
2002-03-08,0.0007479999912902713,-1.5789516815924665
2002-03-11,0.0007099999929778278,-5.080213737288275
2002-03-12,0.0006840000278316438,-3.661966958216001
2002-03-14,0.0006590000120922923,-3.654972912589538
2002-03-15,0.0006719999946653843,1.9726832070636302
2002-03-18,0.0006590000120922923,-1.9345212315909577
2002-03-19,0.0006719999946653843,1.9726832070636302
2002-03-20,0.0006590000120922923,-1.9345212315909577
2002-03-21,0.0006970000104047358,5.766312232953585
2002-03-22,0.0007350000087171793,5.451936548806868
2002-03-25,0.0007730000070296228,5.170067736293804
2002-03-26,0.0007479999912902713,-3.2341546587325576
2002-03-27,0.0008360000210814178,11.764710002115075
2002-03-28,0.0008740000193938613,4.545454228970969
2002-03-29,0.0007980000227689743,-8.695651594789977
2002-04-01,0.0007859999896027148,-1.5037635117629122
2002-04-02,0.0008110000053420663,3.1806636221443085
2002-04-03,0.0008360000210814178,3.082615977148717
2002-04-04,0.0008740000193938613,4.545454228970969
2002-04-05,0.0008360000210814178,-4.3478257973949885
2002-04-08,0.0007980000227689743,-4.545454228970969
2002-04-09,0.0007980000227689743,0.0
2002-04-10,0.0008110000053420663,1.6290704513996612
2002-04-11,0.0008360000210814178,3.082615977148717
2002-04-12,0.0008239999879151583,-1.4354106296237568
2002-04-15,0.0008490000036545098,3.033982537136337
2002-04-16,0.0008360000210814178,-1.5312111327601574
2002-04-17,0.0008110000053420663,-2.9904324292973627
2002-04-18,0.0008360000210814178,3.082615977148717
2002-04-19,0.0007980000227689743,-4.545454228970969
2002-04-22,0.0008110000053420663,1.6290704513996612
2002-04-24,0.0007859999896027148,-3.082615977148717
2002-04-25,0.0007859999896027148,0.0
2002-04-26,0.0007859999896027148,0.0
2002-04-29,0.0007730000070296228,-1.6539418250708704
2002-04-30,0.0007730000070296228,0.0
2002-05-02,0.0007730000070296228,0.0
2002-05-03,0.0007730000070296228,0.0
2002-05-06,0.0007479999912902713,-3.2341546587325576
2002-05-07,0.0007600000244565308,1.6042825275385253
2002-05-08,0.0008239999879151583,8.42104755251729
2002-05-09,0.0008239999879151583,0.0
2002-05-10,0.0007980000227689743,-3.1553356222695728
2002-05-13,0.0007859999896027148,-1.5037635117629122
2002-05-14,0.0007730000070296228,-1.6539418250708704
2002-05-15,0.0007859999896027148,1.6817571092976547
2002-05-16,0.0007600000244565308,-3.307883650141741
2002-05-17,0.0007220000261440873,-4.999999617054874
2002-05-20,0.0007099999929778278,-1.662054394976531
2002-05-21,0.0007350000087171793,3.521129012198765
2002-05-22,0.0007220000261440873,-1.7687050910082713
2002-05-23,0.0007220000261440873,0.0
2002-05-24,0.0007350000087171793,1.8005515377221837
2002-05-27,0.0007600000244565308,3.4013626452855217
2002-05-28,0.0007350000087171793,-3.28947564932367
2002-05-29,0.0007220000261440873,-1.7687050910082713
2002-05-30,0.0007099999929778278,-1.662054394976531
2002-05-31,0.0007099999929778278,0.0
2002-06-03,0.0006970000104047358,-1.8309834791079949
2002-06-04,0.0006970000104047358,0.0
2002-06-05,0.0006970000104047358,0.0
2002-06-06,0.0007099999929778278,1.8651337703055493
2002-06-07,0.0006840000278316438,-3.661966958216001
